                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.72101,                 1.3469,                 1.1359,                0.74183,                0.71335,                0.77602,                0.66974,                0.53856,                0.90769,                 1.0527,              0.0090298,              0.0090298,              0.0090298
                    100,                0.71768,                 1.3387,                 1.1332,                0.73005,                 0.7333,                 0.7818,                0.67421,                0.53809,                0.89861,                 1.0536,              0.0090199,              0.0090199,              0.0090199
                    101,                0.71885,                 1.3318,                 1.1322,                0.73609,                0.72578,                0.78361,                0.67676,                0.53726,                0.89072,                 1.0525,                0.00901,                0.00901,                0.00901
                    102,                0.71927,                 1.3435,                 1.1341,                0.75104,                0.71899,                0.78307,                0.67769,                0.53386,                0.89267,                 1.0498,              0.0090001,              0.0090001,              0.0090001
                    103,                 0.7222,                 1.3359,                 1.1356,                0.74437,                 0.7253,                0.78381,                0.67818,                0.53524,                0.89283,                 1.0515,              0.0089902,              0.0089902,              0.0089902
                    104,                0.71803,                 1.3229,                 1.1355,                0.74861,                0.72784,                0.78807,                0.68191,                0.53464,                0.88577,                 1.0504,              0.0089803,              0.0089803,              0.0089803
                    105,                0.70812,                 1.3052,                 1.1263,                0.75178,                0.72739,                0.78781,                0.68172,                0.53415,                0.88439,                 1.0498,              0.0089704,              0.0089704,              0.0089704
                    106,                0.71595,                 1.3064,                 1.1316,                0.75061,                0.73052,                 0.7904,                0.68468,                0.53273,                0.88153,                 1.0484,              0.0089605,              0.0089605,              0.0089605
                    107,                0.71908,                 1.3254,                 1.1363,                0.73901,                0.73681,                0.78851,                0.68314,                  0.533,                0.88182,                 1.0484,              0.0089506,              0.0089506,              0.0089506
                    108,                0.70811,                 1.2928,                 1.1269,                0.75993,                0.71664,                0.78779,                0.68242,                 0.5334,                  0.886,                 1.0482,              0.0089407,              0.0089407,              0.0089407
                    109,                0.71069,                 1.3108,                 1.1291,                 0.7526,                0.72591,                0.78852,                0.68234,                0.53326,                0.88281,                 1.0472,              0.0089308,              0.0089308,              0.0089308
                    110,                0.71743,                 1.2968,                 1.1335,                0.75974,                0.72889,                0.78978,                0.68342,                0.53165,                0.87826,                 1.0455,              0.0089209,              0.0089209,              0.0089209
                    111,                0.69931,                 1.2839,                 1.1226,                0.75888,                0.73372,                0.79187,                0.68528,                0.52973,                 0.8764,                 1.0452,               0.008911,               0.008911,               0.008911
                    112,                  0.715,                 1.2877,                 1.1326,                0.75982,                0.72562,                0.79191,                0.68557,                0.52921,                0.87603,                 1.0442,              0.0089011,              0.0089011,              0.0089011
                    113,                0.71599,                 1.2851,                 1.1335,                0.74856,                0.73941,                0.79211,                0.68717,                0.52685,                0.87258,                 1.0435,              0.0088912,              0.0088912,              0.0088912
                    114,                0.70535,                 1.2815,                 1.1241,                0.75124,                0.73409,                0.79183,                0.68679,                0.52706,                 0.8741,                 1.0441,              0.0088813,              0.0088813,              0.0088813
                    115,                0.70808,                 1.2652,                 1.1242,                0.74916,                0.74139,                0.79316,                0.68716,                0.52794,                0.87338,                 1.0453,              0.0088714,              0.0088714,              0.0088714
                    116,                0.70805,                  1.279,                 1.1262,                0.74834,                0.74155,                0.79387,                0.68859,                0.52717,                0.87161,                 1.0443,              0.0088615,              0.0088615,              0.0088615
                    117,                0.69641,                 1.2625,                  1.121,                0.75928,                0.73662,                0.79478,                0.68901,                0.52755,                0.86808,                 1.0437,              0.0088516,              0.0088516,              0.0088516
                    118,                0.70266,                 1.2485,                 1.1229,                0.76826,                0.73574,                0.79617,                0.68988,                0.52792,                0.86252,                 1.0443,              0.0088417,              0.0088417,              0.0088417
                    119,                0.70145,                 1.2405,                 1.1222,                0.76784,                 0.7397,                0.79641,                0.69049,                0.52777,                0.85775,                 1.0445,              0.0088318,              0.0088318,              0.0088318
                    120,                0.70472,                 1.2539,                 1.1214,                0.77085,                0.73293,                0.79701,                0.69091,                0.52727,                0.85572,                 1.0444,              0.0088219,              0.0088219,              0.0088219
                    121,                0.71241,                 1.2579,                 1.1301,                0.76506,                0.73621,                0.79592,                0.68997,                0.52604,                0.85632,                 1.0436,               0.008812,               0.008812,               0.008812
                    122,                0.69546,                 1.2382,                   1.12,                0.76671,                0.73478,                0.79672,                0.69143,                0.52528,                 0.8546,                 1.0431,              0.0088021,              0.0088021,              0.0088021
                    123,                0.70706,                 1.2674,                 1.1256,                0.75813,                0.74197,                0.79749,                0.69218,                0.52502,                0.85533,                  1.043,              0.0087922,              0.0087922,              0.0087922
                    124,                0.70639,                 1.2522,                 1.1291,                0.75678,                0.74425,                0.79751,                 0.6927,                0.52463,                0.85264,                 1.0432,              0.0087823,              0.0087823,              0.0087823
                    125,                0.70052,                 1.2431,                 1.1223,                0.75555,                0.74325,                0.79799,                0.69294,                0.52362,                0.85023,                  1.043,              0.0087724,              0.0087724,              0.0087724
                    126,                0.69401,                 1.1938,                 1.1139,                0.77293,                0.72698,                0.79945,                0.69548,                0.52327,                0.84753,                 1.0432,              0.0087625,              0.0087625,              0.0087625
                    127,                0.69993,                 1.2217,                  1.119,                0.77077,                0.73336,                0.79995,                0.69509,                 0.5231,                0.84649,                  1.043,              0.0087526,              0.0087526,              0.0087526
                    128,                0.69893,                 1.2282,                 1.1169,                0.75465,                0.74882,                0.80094,                0.69613,                0.52263,                0.84426,                 1.0431,              0.0087427,              0.0087427,              0.0087427
                    129,                0.70123,                  1.229,                 1.1281,                0.75924,                0.74332,                0.80043,                0.69519,                0.52174,                0.84527,                 1.0425,              0.0087328,              0.0087328,              0.0087328
                    130,                0.69256,                 1.2232,                   1.12,                0.75381,                0.74703,                0.80052,                0.69622,                0.52175,                0.84458,                 1.0427,              0.0087229,              0.0087229,              0.0087229
                    131,                0.69019,                 1.2065,                 1.1142,                0.75402,                0.74581,                0.80091,                0.69622,                0.52113,                0.84528,                 1.0425,               0.008713,               0.008713,               0.008713
                    132,                0.69945,                 1.2154,                 1.1178,                0.76926,                0.73387,                0.80176,                0.69718,                0.52089,                0.84504,                 1.0425,              0.0087031,              0.0087031,              0.0087031
                    133,                0.69091,                 1.1922,                 1.1146,                0.76043,                 0.7458,                 0.8027,                0.69796,                0.52076,                0.84279,                 1.0427,              0.0086932,              0.0086932,              0.0086932
                    134,                 0.6977,                 1.2108,                  1.123,                 0.7676,                0.73717,                0.80303,                0.69811,                0.52066,                0.84069,                 1.0425,              0.0086833,              0.0086833,              0.0086833
                    135,                0.68693,                 1.1884,                 1.1166,                0.76228,                0.74841,                0.80259,                0.69777,                0.51981,                0.84194,                 1.0414,              0.0086734,              0.0086734,              0.0086734
                    136,                0.69401,                 1.2011,                 1.1188,                0.76719,                0.74322,                0.80323,                0.69949,                0.51959,                0.84011,                 1.0415,              0.0086635,              0.0086635,              0.0086635
                    137,                0.68952,                 1.1961,                 1.1161,                0.77258,                0.74385,                0.80405,                0.70011,                0.51909,                0.83785,                 1.0414,              0.0086536,              0.0086536,              0.0086536
                    138,                0.68762,                 1.1797,                 1.1133,                  0.772,                0.74245,                 0.8045,                0.70068,                0.51862,                  0.837,                 1.0414,              0.0086437,              0.0086437,              0.0086437
                    139,                0.69353,                 1.1946,                 1.1175,                0.76952,                0.74372,                0.80449,                0.70091,                0.51861,                0.83704,                 1.0412,              0.0086338,              0.0086338,              0.0086338
                    140,                0.68847,                 1.1613,                 1.1152,                0.77803,                 0.7385,                0.80521,                0.70127,                0.51847,                0.83648,                 1.0411,              0.0086239,              0.0086239,              0.0086239
                    141,                0.68618,                 1.1907,                 1.1137,                0.78018,                0.73721,                0.80511,                0.70193,                0.51829,                0.83561,                 1.0413,               0.008614,               0.008614,               0.008614
                    142,                0.69217,                 1.1766,                 1.1157,                0.76885,                0.74995,                 0.8054,                0.70173,                0.51861,                0.83465,                 1.0417,              0.0086041,              0.0086041,              0.0086041
                    143,                0.69159,                 1.1634,                 1.1154,                0.77596,                0.74377,                0.80487,                0.70154,                0.51828,                0.83452,                 1.0416,              0.0085942,              0.0085942,              0.0085942
                    144,                0.68702,                 1.1797,                 1.1152,                0.77769,                0.74426,                 0.8056,                0.70189,                0.51771,                0.83333,                 1.0412,              0.0085843,              0.0085843,              0.0085843
                    145,                0.69829,                 1.1936,                 1.1197,                0.77063,                0.74603,                 0.8055,                0.70234,                0.51772,                0.83294,                 1.0412,              0.0085744,              0.0085744,              0.0085744
                    146,                  0.693,                 1.1858,                 1.1163,                0.77978,                0.74067,                0.80619,                0.70259,                0.51747,                0.83172,                 1.0411,              0.0085645,              0.0085645,              0.0085645
                    147,                0.68694,                 1.1575,                 1.1119,                0.77634,                0.74127,                0.80655,                0.70299,                0.51732,                0.82985,                 1.0413,              0.0085546,              0.0085546,              0.0085546
                    148,                0.68387,                 1.1435,                  1.112,                0.77875,                0.74235,                0.80716,                0.70339,                0.51667,                0.82844,                 1.0404,              0.0085447,              0.0085447,              0.0085447
                    149,                0.69299,                  1.182,                 1.1197,                0.77637,                 0.7468,                0.80798,                0.70424,                0.51668,                0.82725,                 1.0403,              0.0085348,              0.0085348,              0.0085348
                    150,                0.68418,                 1.1496,                  1.108,                0.77466,                0.75053,                0.80887,                0.70476,                0.51647,                 0.8258,                 1.0399,              0.0085249,              0.0085249,              0.0085249
                    151,                0.68902,                 1.1448,                 1.1172,                0.77602,                0.75049,                0.80887,                 0.7047,                0.51615,                0.82631,                 1.0398,               0.008515,               0.008515,               0.008515
                    152,                0.68709,                 1.1424,                 1.1105,                 0.7801,                 0.7488,                0.80948,                0.70534,                0.51577,                0.82499,                 1.0396,              0.0085051,              0.0085051,              0.0085051
